"campaign_id","channel","region","month","fiscal_year","month_number","new_users","active_customers","orders","impressions","clicks","net_revenue","refund_leakage","gross_margin","marketing_spend","contribution_profit","roas","cac","gross_margin_pct","refund_rate_pct","revenue_per_customer"
"Amazon Ads_PROMO_1","Amazon Ads","APAC","2023-01-01",2023,1,"8","5","13","60718","1973","2979.59","0.00","1105.24","3048.33","-2068.26","0.98","381.04","37.09","0.00","595.92"
"Amazon Ads_PROMO_1","Amazon Ads","APAC","2023-02-01",2023,2,"9","12","45","64521","2007","6122.39","2714.81","2255.82","2878.05","-1029.21","2.13","319.78","36.85","4.44","510.20"
"Amazon Ads_PROMO_1","Amazon Ads","APAC","2023-03-01",2023,3,"17","28","99","74909","2617","13990.35","3038.00","4610.76","3850.84","-87.85","3.63","226.52","32.96","7.07","499.66"
"Amazon Ads_PROMO_1","Amazon Ads","APAC","2023-04-01",2023,4,"9","32","147","75795","2511","27190.00","2833.07","8318.35","3623.74","3381.15","7.50","402.64","30.59","7.48","849.69"
"Amazon Ads_PROMO_1","Amazon Ads","APAC","2023-05-01",2023,5,"11","43","165","84924","3206","32650.10","3609.69","9487.30","4351.97","3642.03","7.50","395.63","29.06","7.88","759.30"
"Amazon Ads_PROMO_1","Amazon Ads","APAC","2023-06-01",2023,6,"12","50","175","89542","2940","32183.24","9966.33","9549.87","4044.01","3989.14","7.96","337.00","29.67","12.57","643.66"
"Amazon Ads_PROMO_1","Amazon Ads","APAC","2023-07-01",2023,7,"14","55","205","87765","2986","41082.04","3710.51","12600.44","4020.04","6681.22","10.22","287.15","30.67","4.39","746.95"
"Amazon Ads_PROMO_1","Amazon Ads","APAC","2023-08-01",2023,8,"11","68","206","92058","3108","37341.01","2571.39","11405.73","4154.66","5297.35","8.99","377.70","30.54","5.83","549.13"
"Amazon Ads_PROMO_1","Amazon Ads","APAC","2023-09-01",2023,9,"15","71","231","81456","2657","40912.48","4101.89","12848.24","3949.75","6808.98","10.36","263.32","31.40","6.06","576.23"
"Amazon Ads_PROMO_1","Amazon Ads","APAC","2023-10-01",2023,10,"10","81","211","99592","3216","35347.24","8849.07","12214.38","4469.95","5854.57","7.91","447.00","34.56","6.16","436.39"
"Amazon Ads_PROMO_1","Amazon Ads","APAC","2023-11-01",2023,11,"18","119","411","125527","3899","75674.59","8849.22","23016.49","5451.41","13853.38","13.88","302.86","30.42","6.81","635.92"
"Amazon Ads_PROMO_1","Amazon Ads","APAC","2023-12-01",2023,12,"30","132","473","146172","4674","82379.73","8920.56","26558.32","6579.39","15572.52","12.52","219.31","32.24","4.86","624.09"
"Amazon Ads_PROMO_1","Amazon Ads","APAC","2024-01-01",2024,1,"7","109","392","87616","2738","75995.75","12130.18","23646.36","4080.56","15832.67","18.62","582.94","31.12","5.36","697.21"
"Amazon Ads_PROMO_1","Amazon Ads","APAC","2024-02-01",2024,2,"15","107","312","58907","2058","51933.86","5755.44","16928.72","3190.58","10876.93","16.28","212.71","32.60","6.09","485.36"
"Amazon Ads_PROMO_1","Amazon Ads","APAC","2024-03-01",2024,3,"9","116","364","87714","2897","58288.17","6503.47","18958.99","3717.71","12003.70","15.68","413.08","32.53","7.42","502.48"
"Amazon Ads_PROMO_1","Amazon Ads","APAC","2024-04-01",2024,4,"13","112","307","80623","2964","49186.95","3885.95","16265.46","4094.13","9330.20","12.01","314.93","33.07","5.21","439.17"
"Amazon Ads_PROMO_1","Amazon Ads","APAC","2024-05-01",2024,5,"12","104","277","114511","3639","48389.21","4622.27","15612.31","5271.93","7796.17","9.18","439.33","32.26","5.78","465.28"
"Amazon Ads_PROMO_1","Amazon Ads","APAC","2024-06-01",2024,6,"14","112","279","113193","3580","50150.47","5636.49","15565.60","4603.97","8388.77","10.89","328.86","31.04","4.30","447.77"
"Amazon Ads_PROMO_1","Amazon Ads","APAC","2024-07-01",2024,7,"14","113","276","79363","3031","51596.62","7850.35","15995.15","4619.50","8843.73","11.17","329.96","31.00","6.88","456.61"
"Amazon Ads_PROMO_1","Amazon Ads","APAC","2024-08-01",2024,8,"15","122","295","86211","2843","47829.04","8856.72","15729.15","4388.19","8604.91","10.90","292.55","32.89","5.42","392.04"
"Amazon Ads_PROMO_1","Amazon Ads","APAC","2024-09-01",2024,9,"15","121","270","106339","3982","53355.17","4309.45","15974.51","5837.49","7636.34","9.14","389.17","29.94","7.04","440.95"
"Amazon Ads_PROMO_1","Amazon Ads","APAC","2024-10-01",2024,10,"18","126","267","102307","3385","47728.98","5260.34","14886.21","5161.35","7268.47","9.25","286.74","31.19","5.62","378.80"
"Amazon Ads_PROMO_1","Amazon Ads","APAC","2024-11-01",2024,11,"23","200","627","150397","4397","126392.42","16486.86","38578.49","6288.42","26307.18","20.10","273.41","30.52","7.18","631.96"
"Amazon Ads_PROMO_1","Amazon Ads","APAC","2024-12-01",2024,12,"24","206","661","185408","5657","157428.08","17473.29","45491.42","7888.55","31212.77","19.96","328.69","28.90","8.02","764.21"
"Amazon Ads_PROMO_1","Amazon Ads","APAC","2025-01-01",2025,1,"19","138","353","80010","2868","78346.25","4292.63","22844.72","4026.51","15374.63","19.46","211.92","29.16","5.67","567.73"
"Amazon Ads_PROMO_1","Amazon Ads","APAC","2025-02-01",2025,2,"17","138","354","87987","3301","73670.83","11335.57","21476.90","4318.89","13831.05","17.06","254.05","29.15","8.76","533.85"
"Amazon Ads_PROMO_1","Amazon Ads","APAC","2025-03-01",2025,3,"18","161","520","104545","4211","102876.32","7682.04","30572.85","5640.61","19952.49","18.24","313.37","29.72","6.54","638.98"
"Amazon Ads_PROMO_1","Amazon Ads","APAC","2025-04-01",2025,4,"11","159","411","108392","3244","75520.90","9723.13","24783.53","5015.75","15970.73","15.06","455.98","32.82","5.11","474.97"
"Amazon Ads_PROMO_1","Amazon Ads","APAC","2025-05-01",2025,5,"22","158","422","118204","4345","85808.57","6116.34","25747.10","5763.42","15896.62","14.89","261.97","30.01","5.45","543.09"
"Amazon Ads_PROMO_1","Amazon Ads","APAC","2025-06-01",2025,6,"20","145","395","111351","3719","73469.59","3795.79","22325.63","5486.16","13078.31","13.39","274.31","30.39","4.81","506.69"
"Amazon Ads_PROMO_1","Amazon Ads","APAC","2025-07-01",2025,7,"20","153","436","110367","3604","84819.53","10299.03","26647.57","5155.61","17443.17","16.45","257.78","31.42","6.65","554.38"
"Amazon Ads_PROMO_1","Amazon Ads","APAC","2025-08-01",2025,8,"22","161","561","111848","3459","105196.81","13891.95","32329.02","4945.03","22201.95","21.27","224.77","30.73","6.95","653.40"
"Amazon Ads_PROMO_1","Amazon Ads","APAC","2025-09-01",2025,9,"23","173","603","111303","3653","100010.61","12305.95","32938.70","5750.55","21778.09","17.39","250.02","32.94","7.13","578.10"
"Amazon Ads_PROMO_1","Amazon Ads","APAC","2025-10-01",2025,10,"29","180","796","138984","5267","144584.20","12576.77","46103.03","7501.99","31235.73","19.27","258.69","31.89","6.28","803.25"
"Amazon Ads_PROMO_1","Amazon Ads","APAC","2025-11-01",2025,11,"22","313","1546","153994","5126","261584.21","28919.96","83908.78","7178.83","62706.83","36.44","326.31","32.08","5.43","835.73"
"Amazon Ads_PROMO_1","Amazon Ads","APAC","2025-12-01",2025,12,"37","311","1833","184153","6770","317846.36","40936.91","100276.31","9039.55","74416.96","35.16","244.31","31.55","6.00","1022.01"
"Amazon Ads_PROMO_1","Amazon Ads","EMEA","2023-01-01",2023,1,"15","6","12","82806","2782","1841.33","257.97","804.96","4118.29","-3412.40","0.45","274.55","43.72","8.33","306.89"
"Amazon Ads_PROMO_1","Amazon Ads","EMEA","2023-02-01",2023,2,"12","23","61","69411","2243","13365.11","4202.77","4000.28","3266.97","195.83","4.09","272.25","29.93","13.11","581.09"
"Amazon Ads_PROMO_1","Amazon Ads","EMEA","2023-03-01",2023,3,"9","27","117","113788","3323","24239.37","8485.21","7622.55","4635.45","1918.07","5.23","515.05","31.45","9.40","897.75"
"Amazon Ads_PROMO_1","Amazon Ads","EMEA","2023-04-01",2023,4,"14","41","110","95440","3260","21130.64","464.94","7366.42","4894.26","1425.62","4.32","349.59","34.86","4.55","515.38"
"Amazon Ads_PROMO_1","Amazon Ads","EMEA","2023-05-01",2023,5,"20","55","206","128372","3741","41448.29","7146.20","13368.37","5285.92","6141.37","7.84","264.30","32.25","8.74","753.61"
"Amazon Ads_PROMO_1","Amazon Ads","EMEA","2023-06-01",2023,6,"11","61","197","104078","3687","46938.73","3194.96","14859.52","5144.38","7682.41","9.12","467.67","31.66","5.08","769.49"
"Amazon Ads_PROMO_1","Amazon Ads","EMEA","2023-07-01",2023,7,"14","73","204","129951","3983","53798.98","8402.24","16912.14","5509.19","9386.96","9.77","393.51","31.44","6.86","736.97"
"Amazon Ads_PROMO_1","Amazon Ads","EMEA","2023-08-01",2023,8,"12","75","212","79073","2855","41882.31","8606.47","13300.93","4356.45","6985.92","9.61","363.04","31.76","9.91","558.43"
"Amazon Ads_PROMO_1","Amazon Ads","EMEA","2023-09-01",2023,9,"13","82","247","120243","4231","65017.39","8042.61","19805.67","6042.37","11273.68","10.76","464.80","30.46","6.48","792.90"
"Amazon Ads_PROMO_1","Amazon Ads","EMEA","2023-10-01",2023,10,"13","91","246","132156","4453","53133.19","6409.79","17140.08","6213.56","8600.52","8.55","477.97","32.26","6.50","583.88"
"Amazon Ads_PROMO_1","Amazon Ads","EMEA","2023-11-01",2023,11,"23","129","441","148528","4929","86025.44","16378.76","27803.51","7222.00","16438.12","11.91","314.00","32.32","10.20","666.86"
"Amazon Ads_PROMO_1","Amazon Ads","EMEA","2023-12-01",2023,12,"13","134","438","186463","6167","90468.61","18703.68","27980.96","8766.34","15216.81","10.32","674.33","30.93","11.19","675.14"
"Amazon Ads_PROMO_1","Amazon Ads","EMEA","2024-01-01",2024,1,"11","95","231","119138","3829","61110.45","6964.12","18449.94","5600.28","10561.16","10.91","509.12","30.19","10.39","643.27"
"Amazon Ads_PROMO_1","Amazon Ads","EMEA","2024-02-01",2024,2,"9","109","273","104413","2991","54829.07","9128.58","18102.84","4528.34","11071.52","12.11","503.15","33.02","9.16","503.02"
"Amazon Ads_PROMO_1","Amazon Ads","EMEA","2024-03-01",2024,3,"15","107","261","94302","3814","52252.43","8636.38","16945.48","5669.08","8913.71","9.22","377.94","32.43","9.58","488.34"
"Amazon Ads_PROMO_1","Amazon Ads","EMEA","2024-04-01",2024,4,"19","108","246","120901","4057","54013.06","7278.52","17417.76","5489.21","9618.64","9.84","288.91","32.25","10.16","500.12"
"Amazon Ads_PROMO_1","Amazon Ads","EMEA","2024-05-01",2024,5,"20","113","262","143537","4950","50092.89","11519.03","16777.12","6742.26","7593.15","7.43","337.11","33.49","6.87","443.30"
"Amazon Ads_PROMO_1","Amazon Ads","EMEA","2024-06-01",2024,6,"21","114","245","131868","4110","51755.47","8530.71","17255.49","6064.00","8914.99","8.53","288.76","33.34","8.98","454.00"
"Amazon Ads_PROMO_1","Amazon Ads","EMEA","2024-07-01",2024,7,"15","114","259","114043","4335","56058.00","9688.53","18473.37","6284.50","9716.00","8.92","418.97","32.95","7.72","491.74"
"Amazon Ads_PROMO_1","Amazon Ads","EMEA","2024-08-01",2024,8,"23","136","295","138238","4394","60925.17","5406.24","19880.59","6118.12","10968.29","9.96","266.01","32.63","7.46","447.98"
"Amazon Ads_PROMO_1","Amazon Ads","EMEA","2024-09-01",2024,9,"23","139","322","148950","5075","79090.99","13715.66","23422.13","6368.72","13990.18","12.42","276.90","29.61","11.18","569.00"
"Amazon Ads_PROMO_1","Amazon Ads","EMEA","2024-10-01",2024,10,"25","145","322","151188","4747","73756.05","9717.28","22906.86","7000.44","12716.61","10.54","280.02","31.06","7.76","508.66"
"Amazon Ads_PROMO_1","Amazon Ads","EMEA","2024-11-01",2024,11,"25","228","596","153986","5112","133187.66","22699.85","42678.36","7941.87","29058.43","16.77","317.67","32.04","9.06","584.16"
"Amazon Ads_PROMO_1","Amazon Ads","EMEA","2024-12-01",2024,12,"33","234","673","159184","5817","154031.44","18519.46","48850.56","8758.55","33601.00","17.59","265.41","31.71","8.62","658.25"
"Amazon Ads_PROMO_1","Amazon Ads","EMEA","2025-01-01",2025,1,"23","169","367","132528","3967","77876.20","9675.35","25296.49","5865.31","15902.90","13.28","255.01","32.48","7.63","460.81"
"Amazon Ads_PROMO_1","Amazon Ads","EMEA","2025-02-01",2025,2,"14","152","321","87823","3152","62758.60","6610.04","21220.84","4535.49","13707.03","13.84","323.96","33.81","8.10","412.89"
"Amazon Ads_PROMO_1","Amazon Ads","EMEA","2025-03-01",2025,3,"19","169","414","134229","4535","82559.73","15047.81","26945.56","6721.69","16333.62","12.28","353.77","32.64","8.45","488.52"
"Amazon Ads_PROMO_1","Amazon Ads","EMEA","2025-04-01",2025,4,"25","180","416","141548","4987","81582.15","12328.76","26993.06","6666.09","16493.30","12.24","266.64","33.09","7.69","453.23"
"Amazon Ads_PROMO_1","Amazon Ads","EMEA","2025-05-01",2025,5,"25","188","434","144584","5020","85782.96","19419.38","28555.81","6992.31","17616.74","12.27","279.69","33.29","9.68","456.29"
"Amazon Ads_PROMO_1","Amazon Ads","EMEA","2025-06-01",2025,6,"12","169","445","114014","4581","101618.31","10076.07","32110.08","6832.21","20997.14","14.87","569.35","31.60","8.09","601.29"
"Amazon Ads_PROMO_1","Amazon Ads","EMEA","2025-07-01",2025,7,"22","163","394","132977","4797","80418.18","18022.20","26301.67","6703.69","16000.33","12.00","304.71","32.71","11.42","493.36"
"Amazon Ads_PROMO_1","Amazon Ads","EMEA","2025-08-01",2025,8,"27","188","501","127378","4646","97223.98","14935.16","32253.77","6808.73","20920.56","14.28","252.18","33.17","9.58","517.15"
"Amazon Ads_PROMO_1","Amazon Ads","EMEA","2025-09-01",2025,9,"17","176","505","149535","4990","118540.72","21158.75","37943.49","6797.95","26223.29","17.44","399.88","32.01","8.51","673.53"
"Amazon Ads_PROMO_1","Amazon Ads","EMEA","2025-10-01",2025,10,"21","178","578","191539","6256","131815.08","17490.04","42120.61","8992.00","27613.36","14.66","428.19","31.95","8.30","740.53"
"Amazon Ads_PROMO_1","Amazon Ads","EMEA","2025-11-01",2025,11,"38","325","1267","216215","6913","287120.76","48540.23","91247.38","10000.45","69189.10","28.71","263.17","31.78","8.76","883.45"
"Amazon Ads_PROMO_1","Amazon Ads","EMEA","2025-12-01",2025,12,"19","332","1558","217786","6892","340932.32","58591.10","109021.35","10965.46","83274.19","31.09","577.13","31.98","8.86","1026.90"
"Amazon Ads_PROMO_1","Amazon Ads","LATAM","2023-01-01",2023,1,"4","4","14","42911","1549","1862.12","0.00","659.66","2052.44","-1513.37","0.91","513.11","35.43","0.00","465.53"
"Amazon Ads_PROMO_1","Amazon Ads","LATAM","2023-02-01",2023,2,"10","8","26","35569","1263","3656.95","441.50","1055.80","1711.26","-859.97","2.14","171.13","28.87","7.69","457.12"
"Amazon Ads_PROMO_1","Amazon Ads","LATAM","2023-03-01",2023,3,"6","17","82","52414","1675","10654.02","508.35","3670.59","2333.96","605.08","4.56","388.99","34.45","6.10","626.71"
"Amazon Ads_PROMO_1","Amazon Ads","LATAM","2023-04-01",2023,4,"8","21","104","49063","1646","10417.32","1429.98","3899.84","2201.27","853.66","4.73","275.16","37.44","7.69","496.06"
"Amazon Ads_PROMO_1","Amazon Ads","LATAM","2023-05-01",2023,5,"8","31","117","46798","1638","15512.67","621.75","5013.23","2478.14","1506.69","6.26","309.77","32.32","7.69","500.41"
"Amazon Ads_PROMO_1","Amazon Ads","LATAM","2023-06-01",2023,6,"2","28","96","45141","1540","10283.23","1304.05","3567.03","2355.59","420.21","4.37","1177.80","34.69","6.25","367.26"
"Amazon Ads_PROMO_1","Amazon Ads","LATAM","2023-07-01",2023,7,"10","37","121","52938","1731","17597.37","1149.23","5884.86","2488.11","2357.86","7.07","248.81","33.44","6.61","475.60"
"Amazon Ads_PROMO_1","Amazon Ads","LATAM","2023-08-01",2023,8,"5","37","139","54130","1978","16308.70","974.06","5670.71","2861.36","1670.52","5.70","572.27","34.77","7.19","440.78"
"Amazon Ads_PROMO_1","Amazon Ads","LATAM","2023-09-01",2023,9,"4","48","141","48723","1574","25524.22","801.00","7939.30","2482.97","4124.54","10.28","620.74","31.10","4.96","531.75"
"Amazon Ads_PROMO_1","Amazon Ads","LATAM","2023-10-01",2023,10,"12","44","120","69695","2375","13354.92","4103.35","4468.76","3297.21","168.12","4.05","274.77","33.46","10.83","303.52"
"Amazon Ads_PROMO_1","Amazon Ads","LATAM","2023-11-01",2023,11,"11","69","324","96131","2818","38965.88","4016.60","13626.13","3716.34","7198.05","10.49","337.85","34.97","8.64","564.72"
"Amazon Ads_PROMO_1","Amazon Ads","LATAM","2023-12-01",2023,12,"12","70","317","95238","2744","39740.45","6766.68","13233.31","4078.48","6509.98","9.74","339.87","33.30","8.52","567.72"
"Amazon Ads_PROMO_1","Amazon Ads","LATAM","2024-01-01",2024,1,"9","69","185","44574","1598","27417.61","1570.26","8489.31","2318.66","4542.87","11.82","257.63","30.96","4.32","397.36"
"Amazon Ads_PROMO_1","Amazon Ads","LATAM","2024-02-01",2024,2,"7","59","186","42420","1380","22371.04","1745.07","7774.78","2015.85","4148.52","11.10","287.98","34.75","4.30","379.17"
"Amazon Ads_PROMO_1","Amazon Ads","LATAM","2024-03-01",2024,3,"7","71","210","55040","1897","28935.93","4440.14","9193.41","2838.08","4561.56","10.20","405.44","31.77","8.10","407.55"
"Amazon Ads_PROMO_1","Amazon Ads","LATAM","2024-04-01",2024,4,"8","71","185","49662","1821","19220.72","1511.39","6812.13","2760.19","2494.78","6.96","345.02","35.44","5.41","270.71"
"Amazon Ads_PROMO_1","Amazon Ads","LATAM","2024-05-01",2024,5,"7","78","194","65984","2480","23064.35","4067.44","8067.74","3647.93","2757.65","6.32","521.13","34.98","8.25","295.70"
"Amazon Ads_PROMO_1","Amazon Ads","LATAM","2024-06-01",2024,6,"8","65","171","67624","2326","29549.15","5271.10","8568.56","3168.33","3882.90","9.33","396.04","29.00","7.02","454.60"
"Amazon Ads_PROMO_1","Amazon Ads","LATAM","2024-07-01",2024,7,"15","70","186","65169","2021","37959.86","4913.44","10317.50","2963.47","5611.61","12.81","197.56","27.18","9.68","542.28"
"Amazon Ads_PROMO_1","Amazon Ads","LATAM","2024-08-01",2024,8,"9","76","192","57005","1992","34255.50","5659.59","10096.04","2995.15","5372.83","11.44","332.79","29.47","10.42","450.73"
"Amazon Ads_PROMO_1","Amazon Ads","LATAM","2024-09-01",2024,9,"14","88","236","67776","2098","38314.50","3276.24","11595.51","3091.44","6361.78","12.39","220.82","30.26","6.36","435.39"
"Amazon Ads_PROMO_1","Amazon Ads","LATAM","2024-10-01",2024,10,"11","93","262","84037","2975","39661.30","3803.12","12905.73","3835.61","6766.21","10.34","348.69","32.54","6.11","426.47"
"Amazon Ads_PROMO_1","Amazon Ads","LATAM","2024-11-01",2024,11,"11","133","455","97130","3194","65260.47","6536.27","20340.56","4441.35","11864.82","14.69","403.76","31.17","6.81","490.68"
"Amazon Ads_PROMO_1","Amazon Ads","LATAM","2024-12-01",2024,12,"9","133","465","87090","2899","66577.19","7274.07","21606.86","4361.27","13195.63","15.27","484.59","32.45","5.38","500.58"
"Amazon Ads_PROMO_1","Amazon Ads","LATAM","2025-01-01",2025,1,"8","96","226","68519","2164","29425.02","5374.62","9177.42","2959.98","4252.51","9.94","370.00","31.19","7.96","306.51"
"Amazon Ads_PROMO_1","Amazon Ads","LATAM","2025-02-01",2025,2,"6","86","213","46765","1700","34185.45","6261.65","10521.60","2397.37","6248.29","14.26","399.56","30.78","7.98","397.51"
"Amazon Ads_PROMO_1","Amazon Ads","LATAM","2025-03-01",2025,3,"6","99","290","60999","2132","41829.04","10165.13","13562.10","3295.70","7777.41","12.69","549.28","32.42","8.28","422.52"
"Amazon Ads_PROMO_1","Amazon Ads","LATAM","2025-04-01",2025,4,"10","83","239","67534","2423","39808.97","6278.50","12489.20","3292.31","7014.90","12.09","329.23","31.37","5.86","479.63"
