"cohort_month","month_number","cohort_size","retained_users","retention_rate"
"2023-01-01",0,"670","670","100.00"
"2023-01-01",1,"670","503","75.07"
"2023-01-01",2,"670","495","73.88"
"2023-01-01",3,"670","428","63.88"
"2023-01-01",4,"670","372","55.52"
"2023-01-01",5,"670","350","52.24"
"2023-01-01",6,"670","285","42.54"
"2023-01-01",7,"670","279","41.64"
"2023-01-01",8,"670","237","35.37"
"2023-01-01",9,"670","188","28.06"
"2023-01-01",10,"670","416","62.09"
"2023-01-01",11,"670","391","58.36"
"2023-01-01",12,"670","114","17.01"
"2023-01-01",13,"670","107","15.97"
"2023-01-01",14,"670","81","12.09"
"2023-01-01",15,"670","82","12.24"
"2023-01-01",16,"670","53","7.91"
"2023-01-01",17,"670","40","5.97"
"2023-01-01",18,"670","37","5.52"
"2023-01-01",19,"670","39","5.82"
"2023-01-01",20,"670","27","4.03"
"2023-01-01",21,"670","24","3.58"
"2023-01-01",22,"670","66","9.85"
"2023-01-01",23,"670","61","9.10"
"2023-01-01",24,"670","4","0.60"
"2023-01-01",25,"670","10","1.49"
"2023-01-01",26,"670","10","1.49"
"2023-01-01",27,"670","14","2.09"
"2023-01-01",28,"670","7","1.04"
"2023-01-01",29,"670","2","0.30"
"2023-01-01",30,"670","3","0.45"
"2023-01-01",31,"670","6","0.90"
"2023-01-01",32,"670","2","0.30"
"2023-01-01",33,"670","2","0.30"
"2023-01-01",34,"670","5","0.75"
"2023-01-01",35,"670","6","0.90"
"2023-02-01",0,"990","990","100.00"
"2023-02-01",1,"990","717","72.42"
"2023-02-01",2,"990","640","64.65"
"2023-02-01",3,"990","570","57.58"
"2023-02-01",4,"990","508","51.31"
"2023-02-01",5,"990","463","46.77"
"2023-02-01",6,"990","386","38.99"
"2023-02-01",7,"990","362","36.57"
"2023-02-01",8,"990","294","29.70"
"2023-02-01",9,"990","578","58.38"
"2023-02-01",10,"990","571","57.68"
"2023-02-01",11,"990","196","19.80"
"2023-02-01",12,"990","147","14.85"
"2023-02-01",13,"990","119","12.02"
"2023-02-01",14,"990","118","11.92"
"2023-02-01",15,"990","84","8.48"
"2023-02-01",16,"990","55","5.56"
"2023-02-01",17,"990","63","6.36"
"2023-02-01",18,"990","38","3.84"
"2023-02-01",19,"990","35","3.54"
"2023-02-01",20,"990","46","4.65"
"2023-02-01",21,"990","101","10.20"
"2023-02-01",22,"990","100","10.10"
"2023-02-01",23,"990","19","1.92"
"2023-02-01",24,"990","13","1.31"
"2023-02-01",25,"990","14","1.41"
"2023-02-01",26,"990","12","1.21"
"2023-02-01",27,"990","3","0.30"
"2023-02-01",28,"990","1","0.10"
"2023-02-01",29,"990","4","0.40"
"2023-02-01",30,"990","5","0.51"
"2023-02-01",31,"990","2","0.20"
"2023-02-01",32,"990","1","0.10"
"2023-02-01",33,"990","11","1.11"
"2023-02-01",34,"990","10","1.01"
"2023-03-01",0,"1394","1394","100.00"
"2023-03-01",1,"1394","887","63.63"
"2023-03-01",2,"1394","852","61.12"
"2023-03-01",3,"1394","763","54.73"
"2023-03-01",4,"1394","701","50.29"
"2023-03-01",5,"1394","611","43.83"
"2023-03-01",6,"1394","507","36.37"
"2023-03-01",7,"1394","470","33.72"
"2023-03-01",8,"1394","803","57.60"
"2023-03-01",9,"1394","775","55.60"
"2023-03-01",10,"1394","284","20.37"
"2023-03-01",11,"1394","257","18.44"
"2023-03-01",12,"1394","231","16.57"
"2023-03-01",13,"1394","166","11.91"
"2023-03-01",14,"1394","150","10.76"
"2023-03-01",15,"1394","118","8.46"
"2023-03-01",16,"1394","100","7.17"
"2023-03-01",17,"1394","101","7.25"
"2023-03-01",18,"1394","58","4.16"
"2023-03-01",19,"1394","64","4.59"
"2023-03-01",20,"1394","189","13.56"
"2023-03-01",21,"1394","161","11.55"
"2023-03-01",22,"1394","38","2.73"
"2023-03-01",23,"1394","22","1.58"
"2023-03-01",24,"1394","20","1.43"
"2023-03-01",25,"1394","13","0.93"
"2023-03-01",26,"1394","12","0.86"
"2023-03-01",27,"1394","8","0.57"
"2023-03-01",28,"1394","6","0.43"
"2023-03-01",29,"1394","12","0.86"
"2023-03-01",30,"1394","6","0.43"
"2023-03-01",31,"1394","7","0.50"
"2023-03-01",32,"1394","6","0.43"
"2023-03-01",33,"1394","12","0.86"
"2023-04-01",0,"1432","1432","100.00"
"2023-04-01",1,"1432","934","65.22"
"2023-04-01",2,"1432","860","60.06"
"2023-04-01",3,"1432","766","53.49"
"2023-04-01",4,"1432","690","48.18"
"2023-04-01",5,"1432","582","40.64"
"2023-04-01",6,"1432","519","36.24"
"2023-04-01",7,"1432","821","57.33"
"2023-04-01",8,"1432","773","53.98"
"2023-04-01",9,"1432","325","22.70"
"2023-04-01",10,"1432","276","19.27"
