cohort_month,month_number,retained_users,retention_rate
2023-01-01 00:00:00+05:30,0,23374,100
2023-01-01 00:00:00+05:30,1,5352,22.9
2023-01-01 00:00:00+05:30,2,5770,24.69
2023-01-01 00:00:00+05:30,3,5611,24.01
2023-01-01 00:00:00+05:30,4,5752,24.61
2023-01-01 00:00:00+05:30,5,5658,24.21
2023-01-01 00:00:00+05:30,6,5772,24.69
2023-01-01 00:00:00+05:30,7,5874,25.13
2023-01-01 00:00:00+05:30,8,5767,24.67
2023-01-01 00:00:00+05:30,9,5776,24.71
2023-01-01 00:00:00+05:30,10,5670,24.26
2023-01-01 00:00:00+05:30,11,5777,24.72
2023-01-01 00:00:00+05:30,12,5819,24.9
2023-01-01 00:00:00+05:30,13,5392,23.07
2023-01-01 00:00:00+05:30,14,5701,24.39
2023-01-01 00:00:00+05:30,15,5665,24.24
2023-01-01 00:00:00+05:30,16,5911,25.29
2023-01-01 00:00:00+05:30,17,5572,23.84
2023-01-01 00:00:00+05:30,18,5794,24.79
2023-01-01 00:00:00+05:30,19,5812,24.87
2023-01-01 00:00:00+05:30,20,5631,24.09
2023-01-01 00:00:00+05:30,21,5882,25.16
2023-01-01 00:00:00+05:30,22,5542,23.71
2023-01-01 00:00:00+05:30,23,5732,24.52
2023-01-01 00:00:00+05:30,24,5596,23.94
2023-02-01 00:00:00+05:30,0,16104,100
2023-02-01 00:00:00+05:30,1,3952,24.54
2023-02-01 00:00:00+05:30,2,3822,23.73
2023-02-01 00:00:00+05:30,3,3988,24.76
2023-02-01 00:00:00+05:30,4,3885,24.12
2023-02-01 00:00:00+05:30,5,4004,24.86
2023-02-01 00:00:00+05:30,6,3971,24.66
2023-02-01 00:00:00+05:30,7,3860,23.97
2023-02-01 00:00:00+05:30,8,3984,24.74
2023-02-01 00:00:00+05:30,9,3878,24.08
2023-02-01 00:00:00+05:30,10,3965,24.62
2023-02-01 00:00:00+05:30,11,3945,24.5
2023-02-01 00:00:00+05:30,12,3745,23.26
2023-02-01 00:00:00+05:30,13,3962,24.6
2023-02-01 00:00:00+05:30,14,3879,24.09
2023-02-01 00:00:00+05:30,15,3954,24.55
2023-02-01 00:00:00+05:30,16,3843,23.86
2023-02-01 00:00:00+05:30,17,3885,24.12
2023-02-01 00:00:00+05:30,18,3976,24.69
2023-02-01 00:00:00+05:30,19,3818,23.71
2023-02-01 00:00:00+05:30,20,3963,24.61
2023-02-01 00:00:00+05:30,21,3877,24.07
2023-02-01 00:00:00+05:30,22,4003,24.86
2023-02-01 00:00:00+05:30,23,4002,24.85
2023-02-01 00:00:00+05:30,24,3694,22.94
2023-03-01 00:00:00+05:30,0,13622,100
2023-03-01 00:00:00+05:30,1,3249,23.85
2023-03-01 00:00:00+05:30,2,3329,24.44
2023-03-01 00:00:00+05:30,3,3278,24.06
2023-03-01 00:00:00+05:30,4,3326,24.42
2023-03-01 00:00:00+05:30,5,3384,24.84
2023-03-01 00:00:00+05:30,6,3318,24.36
2023-03-01 00:00:00+05:30,7,3359,24.66
2023-03-01 00:00:00+05:30,8,3202,23.51
2023-03-01 00:00:00+05:30,9,3413,25.06
2023-03-01 00:00:00+05:30,10,3313,24.32
2023-03-01 00:00:00+05:30,11,3091,22.69
2023-03-01 00:00:00+05:30,12,3333,24.47
2023-03-01 00:00:00+05:30,13,3185,23.38
2023-03-01 00:00:00+05:30,14,3386,24.86
2023-03-01 00:00:00+05:30,15,3338,24.5
2023-03-01 00:00:00+05:30,16,3407,25.01
2023-03-01 00:00:00+05:30,17,3378,24.8
2023-03-01 00:00:00+05:30,18,3269,24
2023-03-01 00:00:00+05:30,19,3373,24.76
2023-03-01 00:00:00+05:30,20,3343,24.54
2023-03-01 00:00:00+05:30,21,3324,24.4
2023-03-01 00:00:00+05:30,22,3345,24.56
2023-03-01 00:00:00+05:30,23,3040,22.32
2023-03-01 00:00:00+05:30,24,3364,24.7
2023-04-01 00:00:00+05:30,0,10000,100
2023-04-01 00:00:00+05:30,1,2390,23.9
2023-04-01 00:00:00+05:30,2,2402,24.02
2023-04-01 00:00:00+05:30,3,2471,24.71
2023-04-01 00:00:00+05:30,4,2505,25.05
2023-04-01 00:00:00+05:30,5,2394,23.94
2023-04-01 00:00:00+05:30,6,2404,24.04
2023-04-01 00:00:00+05:30,7,2399,23.99
2023-04-01 00:00:00+05:30,8,2492,24.92
2023-04-01 00:00:00+05:30,9,2511,25.11
2023-04-01 00:00:00+05:30,10,2350,23.5
2023-04-01 00:00:00+05:30,11,2442,24.42
2023-04-01 00:00:00+05:30,12,2391,23.91
2023-04-01 00:00:00+05:30,13,2526,25.26
2023-04-01 00:00:00+05:30,14,2437,24.37
2023-04-01 00:00:00+05:30,15,2422,24.22
2023-04-01 00:00:00+05:30,16,2468,24.68
2023-04-01 00:00:00+05:30,17,2321,23.21
2023-04-01 00:00:00+05:30,18,2448,24.48
2023-04-01 00:00:00+05:30,19,2407,24.07
2023-04-01 00:00:00+05:30,20,2410,24.1
2023-04-01 00:00:00+05:30,21,2442,24.42
2023-04-01 00:00:00+05:30,22,2270,22.7
2023-04-01 00:00:00+05:30,23,2439,24.39
2023-04-01 00:00:00+05:30,24,2340,23.4
2023-05-01 00:00:00+05:30,0,7833,100
2023-05-01 00:00:00+05:30,1,1876,23.95
2023-05-01 00:00:00+05:30,2,1975,25.21
2023-05-01 00:00:00+05:30,3,1917,24.47
2023-05-01 00:00:00+05:30,4,1816,23.18
2023-05-01 00:00:00+05:30,5,1923,24.55
2023-05-01 00:00:00+05:30,6,1825,23.3
2023-05-01 00:00:00+05:30,7,1926,24.59
2023-05-01 00:00:00+05:30,8,1854,23.67
2023-05-01 00:00:00+05:30,9,1762,22.49
2023-05-01 00:00:00+05:30,10,1915,24.45
2023-05-01 00:00:00+05:30,11,1865,23.81
2023-05-01 00:00:00+05:30,12,1920,24.51
2023-05-01 00:00:00+05:30,13,1904,24.31
2023-05-01 00:00:00+05:30,14,2024,25.84
2023-05-01 00:00:00+05:30,15,1930,24.64
2023-05-01 00:00:00+05:30,16,1885,24.06
2023-05-01 00:00:00+05:30,17,2007,25.62
2023-05-01 00:00:00+05:30,18,1807,23.07
2023-05-01 00:00:00+05:30,19,1913,24.42
2023-05-01 00:00:00+05:30,20,1903,24.29
2023-05-01 00:00:00+05:30,21,1765,22.53
2023-05-01 00:00:00+05:30,22,1967,25.11
2023-05-01 00:00:00+05:30,23,1884,24.05
2023-05-01 00:00:00+05:30,24,1935,24.7
2023-06-01 00:00:00+05:30,0,5710,100
2023-06-01 00:00:00+05:30,1,1342,23.5
2023-06-01 00:00:00+05:30,2,1460,25.57
2023-06-01 00:00:00+05:30,3,1379,24.15
2023-06-01 00:00:00+05:30,4,1491,26.11
2023-06-01 00:00:00+05:30,5,1328,23.26
2023-06-01 00:00:00+05:30,6,1406,24.62
2023-06-01 00:00:00+05:30,7,1397,24.47
2023-06-01 00:00:00+05:30,8,1332,23.33
2023-06-01 00:00:00+05:30,9,1398,24.48
2023-06-01 00:00:00+05:30,10,1341,23.49
2023-06-01 00:00:00+05:30,11,1385,24.26
2023-06-01 00:00:00+05:30,12,1372,24.03
2023-06-01 00:00:00+05:30,13,1405,24.61
2023-06-01 00:00:00+05:30,14,1410,24.69
2023-06-01 00:00:00+05:30,15,1391,24.36
