region,segment,fiscal_year,active_customer_count,net_revenue
APAC,Steady Grower,2023,23822,24692967.09
APAC,Platinum Whale,2023,11,22818.96
APAC,Margin Drainer (At-Risk),2023,34,19015.8
APAC,Steady Grower,2024,23870,24805794.17
APAC,Platinum Whale,2024,11,26939.05
APAC,Margin Drainer (At-Risk),2024,36,15212.64
APAC,Steady Grower,2025,23862,24679656.03
APAC,Platinum Whale,2025,11,29791.42
APAC,Margin Drainer (At-Risk),2025,35,16163.43
EMEA,Steady Grower,2023,23754,24674268.22
EMEA,Platinum Whale,2023,11,25037.47
EMEA,Margin Drainer (At-Risk),2023,33,14895.71
EMEA,Steady Grower,2024,23861,24801991.01
EMEA,Platinum Whale,2024,11,29474.49
EMEA,Margin Drainer (At-Risk),2024,28,16797.29
EMEA,Steady Grower,2025,23751,24649547.68
EMEA,Platinum Whale,2025,11,22502.03
EMEA,Margin Drainer (At-Risk),2025,27,12677.2
LATAM,Steady Grower,2023,24136,24997853.75
LATAM,Platinum Whale,2023,10,25671.33
LATAM,Margin Drainer (At-Risk),2023,29,12677.2
LATAM,Steady Grower,2024,24031,24970914.7
LATAM,Platinum Whale,2024,10,20917.38
LATAM,Margin Drainer (At-Risk),2024,30,14261.85
LATAM,Steady Grower,2025,24072,24841607.26
LATAM,Platinum Whale,2025,10,25354.4
LATAM,Margin Drainer (At-Risk),2025,31,15529.57
North America,Steady Grower,2023,23744,24783609.07
North America,Margin Drainer (At-Risk),2023,37,19649.66
North America,Platinum Whale,2023,3,7923.25
North America,Steady Grower,2024,23771,24826711.55
North America,Margin Drainer (At-Risk),2024,35,18698.87
North America,Platinum Whale,2024,3,4753.95
North America,Steady Grower,2025,23758,24590915.63
North America,Margin Drainer (At-Risk),2025,38,17431.15
North America,Platinum Whale,2025,3,8557.11
