region,category,fiscal_year,total_gross_revenue,refund_leakage,refund_rate_percentage,projected_profit_recovery
North America,Fashion,2023,5319036.19,345136.77,6.49,86284.19
LATAM,Beauty,2023,5412530.54,341967.47,6.32,85491.87
LATAM,Home & Kitchen,2024,5307943.64,340065.89,6.41,85016.47
EMEA,Home & Kitchen,2024,5306358.99,339432.03,6.4,84858.01
APAC,Sports,2025,5258185.63,339115.1,6.45,84778.78
APAC,Fashion,2023,5251530.1,338164.31,6.44,84541.08
APAC,Beauty,2023,5276567.57,335945.8,6.37,83986.45
APAC,Fashion,2024,5316817.68,334361.15,6.29,83590.29
North America,Sports,2023,5325691.72,331825.71,6.23,82956.43
LATAM,Fashion,2024,5343439.8,329924.13,6.17,82481.03
APAC,Sports,2024,5277518.36,329607.2,6.25,82401.8
LATAM,Electronics,2025,5319353.12,329290.27,6.19,82322.57
North America,Home & Kitchen,2024,5250579.31,326437.9,6.22,81609.48
LATAM,Beauty,2024,5326325.58,325804.04,6.12,81451.01
LATAM,Sports,2024,5309845.22,325170.18,6.12,81292.55
APAC,Electronics,2025,5298435.74,324219.39,6.12,81054.85
LATAM,Fashion,2025,5330762.6,323902.46,6.08,80975.62
EMEA,Home & Kitchen,2025,5225858.77,323585.53,6.19,80896.38
EMEA,Electronics,2023,5302872.76,323585.53,6.1,80896.38
APAC,Home & Kitchen,2024,5320303.91,323268.6,6.08,80817.15
EMEA,Beauty,2025,5262305.72,322951.67,6.14,80737.92
APAC,Beauty,2025,5268327.39,322951.67,6.13,80737.92
EMEA,Electronics,2025,5299069.6,322634.74,6.09,80658.69
North America,Electronics,2023,5283540.03,322634.74,6.11,80658.69
North America,Electronics,2025,5284173.89,322317.81,6.1,80579.45
North America,Beauty,2024,5270862.83,321050.09,6.09,80262.52
EMEA,Electronics,2024,5242656.06,321050.09,6.12,80262.52
APAC,Electronics,2024,5237902.11,320733.16,6.12,80183.29
North America,Home & Kitchen,2023,5296217.23,320099.3,6.04,80024.83
North America,Sports,2025,5218252.45,319465.44,6.12,79866.36
APAC,Sports,2023,5255650.19,318831.58,6.07,79707.9
APAC,Electronics,2023,5301605.04,318514.65,6.01,79628.66
APAC,Home & Kitchen,2023,5278786.08,317880.79,6.02,79470.2
LATAM,Sports,2023,5323473.21,317563.86,5.97,79390.97
EMEA,Sports,2025,5281955.38,317563.86,6.01,79390.97
North America,Sports,2024,5382739.12,317246.93,5.89,79311.73
LATAM,Home & Kitchen,2023,5268961.25,316613.07,6.01,79153.27
EMEA,Fashion,2025,5218569.38,316296.14,6.06,79074.04
APAC,Home & Kitchen,2025,5243289.92,315662.28,6.02,78915.57
LATAM,Sports,2025,5258185.63,315028.42,5.99,78757.11
EMEA,Home & Kitchen,2023,5267376.6,314394.56,5.97,78598.64
LATAM,Beauty,2025,5314599.17,312809.91,5.89,78202.48
EMEA,Sports,2023,5271813.62,312809.91,5.93,78202.48
APAC,Beauty,2024,5315233.03,311859.12,5.87,77964.78
North America,Beauty,2023,5217935.52,311542.19,5.97,77885.55
North America,Fashion,2024,5200821.3,310908.33,5.98,77727.08
North America,Home & Kitchen,2025,5213181.57,310908.33,5.96,77727.08
LATAM,Electronics,2024,5350095.33,310591.4,5.81,77647.85
EMEA,Fashion,2024,5336150.41,309323.68,5.8,77330.92
LATAM,Electronics,2023,5327593.3,309006.75,5.8,77251.69
EMEA,Beauty,2023,5233148.16,308689.82,5.9,77172.46
EMEA,Fashion,2023,5207159.9,308689.82,5.93,77172.46
EMEA,Beauty,2024,5205575.25,305837.45,5.88,76459.36
LATAM,Fashion,2023,5294315.65,305520.52,5.77,76380.13
EMEA,Sports,2024,5338685.85,305520.52,5.72,76380.13
North America,Electronics,2024,5325057.86,304252.8,5.71,76063.2
APAC,Fashion,2025,5262939.58,303618.94,5.77,75904.74
North America,Fashion,2025,5239169.83,303302.01,5.79,75825.5
LATAM,Home & Kitchen,2025,5242656.06,302034.29,5.76,75508.57
North America,Beauty,2025,5210012.27,291892.53,5.6,72973.13
