first_purchase,second_purchase,customer_count
Electronics,Beauty,4096
Electronics,Sports,4079
Sports,Sports,4079
Fashion,Beauty,4059
Beauty,Electronics,4046
Sports,Fashion,4026
Beauty,Home & Kitchen,4025
Home & Kitchen,Home & Kitchen,4023
Sports,Electronics,4023
Sports,Beauty,4015
Fashion,Sports,4010
Beauty,Sports,3999
Electronics,Home & Kitchen,3997
Electronics,Electronics,3996
Home & Kitchen,Beauty,3975
Beauty,Fashion,3974
Fashion,Electronics,3966
Electronics,Fashion,3963
Home & Kitchen,Fashion,3958
Beauty,Beauty,3957
Home & Kitchen,Electronics,3955
Sports,Home & Kitchen,3947
Fashion,Fashion,3925
Fashion,Home & Kitchen,3912
Home & Kitchen,Sports,3909
