"region","segment","fiscal_year","active_customers","at_risk_customers","orders","net_revenue","gross_margin_dollars","refund_leakage","gross_margin_pct","refund_rate_pct","revenue_per_customer","pct_of_region_year","pct_of_total"
"APAC","Platinum Whale",2023,"658","53","13297","2768557.81","815487.19","305170.10","29.46","6.81","4207.53","41.10","1.68"
"APAC","Steady Grower",2023,"1961","160","19323","2751424.51","909596.86","316150.62","33.06","5.94","1403.07","40.84","1.67"
"APAC","Low-Value / Dormant",2023,"3183","495","12848","1216648.04","448042.11","180003.41","36.83","6.13","382.23","18.06","0.74"
"APAC","Steady Grower",2024,"4389","372","38881","5501952.13","1833459.48","613637.40","33.32","5.80","1253.58","40.94","3.35"
"APAC","Platinum Whale",2024,"1503","114","25109","5453940.86","1594743.72","611794.97","29.24","6.85","3628.70","40.59","3.32"
"APAC","Low-Value / Dormant",2024,"7070","1051","26122","2482163.91","914296.59","341841.85","36.83","5.68","351.08","18.47","1.51"
"APAC","Platinum Whale",2025,"2199","136","45260","9598082.56","2827286.39","1033235.15","29.46","6.78","4364.75","40.73","5.84"
"APAC","Steady Grower",2025,"6080","488","65819","9456207.57","3137102.93","936617.39","33.18","5.64","1555.30","40.13","5.75"
"APAC","Low-Value / Dormant",2025,"10348","1554","47007","4511358.31","1652595.66","619703.58","36.63","5.97","435.96","19.14","2.74"
"EMEA","Platinum Whale",2023,"742","95","11717","3157505.66","931405.97","422540.53","29.50","8.61","4255.40","43.45","1.92"
"EMEA","Steady Grower",2023,"2003","300","16071","2788404.83","936063.67","375337.74","33.57","7.34","1392.11","38.37","1.70"
"EMEA","Low-Value / Dormant",2023,"3368","738","11439","1321104.47","489292.15","254162.34","37.04","7.92","392.25","18.18","0.80"
"EMEA","Platinum Whale",2024,"1638","219","22240","5973187.03","1752113.57","847392.69","29.33","8.85","3646.63","41.41","3.63"
"EMEA","Steady Grower",2024,"4575","742","33299","5936978.49","1979546.48","805743.51","33.34","7.75","1297.70","41.16","3.61"
"EMEA","Low-Value / Dormant",2024,"7063","1524","21988","2513000.19","926981.68","487770.25","36.89","8.17","355.80","17.42","1.53"
"EMEA","Platinum Whale",2025,"2316","322","37631","10362807.94","3039718.20","1479243.88","29.33","8.83","4474.44","41.50","6.30"
"EMEA","Steady Grower",2025,"6281","950","55384","9787959.74","3293349.24","1358129.93","33.65","7.49","1558.34","39.20","5.95"
"EMEA","Low-Value / Dormant",2025,"10776","2279","41829","4819264.05","1783748.61","976159.45","37.01","8.06","447.22","19.30","2.93"
"LATAM","Steady Grower",2023,"820","77","9726","1174697.99","388135.12","121273.37","33.04","6.34","1432.56","40.44","0.71"
"LATAM","Platinum Whale",2023,"280","27","6645","1139883.57","344117.39","139479.62","30.19","7.90","4071.01","39.24","0.69"
"LATAM","Low-Value / Dormant",2023,"1654","266","7682","590407.47","219878.37","85983.37","37.24","6.33","356.96","20.32","0.36"
"LATAM","Steady Grower",2024,"1936","172","20237","2371107.06","788534.95","286031.68","33.26","6.17","1224.75","41.43","1.44"
"LATAM","Platinum Whale",2024,"628","56","11610","2091693.43","608645.09","257433.91","29.10","7.74","3330.72","36.55","1.27"
"LATAM","Low-Value / Dormant",2024,"3659","584","15374","1260171.22","455906.81","183692.92","36.18","6.37","344.40","22.02","0.77"
"LATAM","Steady Grower",2025,"2723","247","34035","4048787.13","1338741.07","526783.63","33.07","6.56","1486.88","41.62","2.46"
"LATAM","Platinum Whale",2025,"858","74","19715","3439253.43","1014497.73","422259.83","29.50","7.51","4008.45","35.35","2.09"
"LATAM","Low-Value / Dormant",2025,"5269","824","26920","2240514.05","812358.89","327119.95","36.26","6.48","425.23","23.03","1.36"
"North America","Platinum Whale",2023,"915","185","12254","3777728.04","1119600.51","627933.20","29.64","10.00","4128.66","42.74","2.30"
"North America","Steady Grower",2023,"2542","519","18620","3572243.54","1219216.93","586497.38","34.13","9.04","1405.29","40.41","2.17"
"North America","Low-Value / Dormant",2023,"3893","1032","12115","1489363.30","564041.06","420126.20","37.87","9.89","382.57","16.85","0.91"
"North America","Platinum Whale",2024,"1975","385","23855","7101133.06","2114763.08","1127483.49","29.78","10.07","3595.51","41.36","4.32"
"North America","Steady Grower",2024,"5571","1142","35070","7016988.40","2351453.16","1150473.08","33.51","8.89","1259.56","40.87","4.27"
"North America","Low-Value / Dormant",2024,"8459","2224","24316","3051539.00","1146429.35","744502.81","37.57","9.79","360.74","17.77","1.86"
"North America","Platinum Whale",2025,"2702","533","39412","12389108.94","3636106.54","2010176.99","29.35","10.26","4585.16","41.74","7.53"
"North America","Steady Grower",2025,"7329","1478","58311","11691857.28","3934855.57","1842258.90","33.65","8.66","1595.29","39.39","7.11"
"North America","Low-Value / Dormant",2025,"12743","3235","44105","5603922.24","2084367.29","1447344.63","37.19","9.84","439.76","18.88","3.41"
